1) Training Resnet50, 10 epochs, 512 by 512 image size, imagenet mean and stdev, lr = 0.00025, drop_out = 0.25, custom head

metric val_acc = 0.7670560479164124, val_loss=0.6330146193504333
metric val_acc = 0.8656542301177979, val_loss=0.4105766713619232
metric val_acc = 0.8523364663124084, val_loss=0.4323727786540985
metric val_acc = 0.8761682510375977, val_loss=0.3737168312072754
metric val_acc = 0.8775700926780701, val_loss=0.3884991407394409
metric val_acc = 0.8754673004150391, val_loss=0.3912592828273773
metric val_acc = 0.8726635575294495, val_loss=0.3818184435367584
metric val_acc = 0.8773364424705505, val_loss=0.38172242045402527
metric val_acc = 0.8773364424705505, val_loss=0.3775908648967743

Loss for fold0 = 0.3737168312072754, accuracy = 0.8775700926780701

2) Training Resnext50, 10 epochs, 512 by 512 image size, imagenet mean and stdev, lr = 0.0002, drop_out = 0.25, custom head

metric val_acc = 0.7593457698822021, val_loss=0.6370415687561035
metric val_acc = 0.8544392585754395, val_loss=0.42850685119628906
metric val_acc = 0.857243001461029, val_loss=0.4246910512447357
metric val_acc = 0.8740653991699219, val_loss=0.3849765658378601
metric val_acc = 0.8670560717582703, val_loss=0.39718523621559143
metric val_acc = 0.8785046935081482, val_loss=0.3774082660675049
metric val_acc = 0.8813084363937378, val_loss=0.3699364960193634
metric val_acc = 0.8696261644363403, val_loss=0.3916417360305786
metric val_acc = 0.8742990493774414, val_loss=0.37823739647865295
metric val_acc = 0.8453270792961121, val_loss=0.4403200149536133

Loss for fold0 = 0.3699364960193634, accuracy = 0.8813084363937378
